gene_id	gene_name	logCPM	logFC	PValue	FDR	gene_biotype	entrezid	ave_tx_len	gc_content	rankingStat	signedRank	DE
ENSG00000278540	ACACA	9.532975201690961	2.041798800969497	1.2431956322234487e-12	7.60743281297493e-9	protein_coding	31	2655.1304347826085	48.570446060129704	11.905460524367314	16333	TRUE
ENSG00000287262	AC021148.3	5.326651545871683	4.487354916068825	1.3013866975113402e-12	7.60743281297493e-9	lncRNA	NA	2631	45.4960091220068	11.885593636842172	16332	TRUE
ENSG00000096060	FKBP5	7.831026862783698	5.159526726547402	1.397312094466711e-12	7.60743281297493e-9	protein_coding	2289	4725.25	42.75964234696578	11.85470658188379	16331	TRUE
ENSG00000131844	MCCC2	8.969925965649697	2.0664933455925794	2.7302510308260404e-12	1.114829752162043e-8	protein_coding	64087	1491.6666666666667	44.364990689013034	11.563797420252122	16330	TRUE
ENSG00000169213	RAB3B	5.166027413948924	5.552903221186499	4.748139603971706e-12	1.5510272830333976e-8	protein_coding	5865	12780	44.6870109546166	11.323476520479188	16329	TRUE
ENSG00000155368	DBI	8.697719256294373	2.9114595964765484	6.293766853704857e-12	1.6295996430520256e-8	protein_coding	1622	687.5833333333334	50.805962913586235	11.201089349129322	16328	TRUE
ENSG00000228793	AL033523.1	3.803524049904613	2.5706333966440593	6.984141003712839e-12	1.6295996430520256e-8	lncRNA	100507336	2142.2285714285713	44.01557790285151	11.155887001187331	16327	TRUE
ENSG00000076554	TPD52	8.552333146214618	2.47242941609362	1.0268106856880619e-11	1.759234772304527e-8	protein_coding	7163	1224.4137931034484	40.55987383124931	10.988509620414295	16326	TRUE
ENSG00000196091	MYBPC1	4.958243618499124	6.4362978952865255	1.0308017232524391e-11	1.759234772304527e-8	protein_coding	4604	2379	45.32716827798796	10.986824864084657	16325	TRUE
ENSG00000164188	RANBP3L	5.383343184600554	5.455618935905143	1.0771044953802285e-11	1.759234772304527e-8	protein_coding	202151	2251.75	35.83879205062726	10.967742161543626	16324	TRUE
ENSG00000249379	AL033397.2	2.193866596048752	3.4375484771109894	1.1872180881494041e-11	1.762803003067656e-8	lncRNA	NA	990.5	44.62392730943967	10.925469495215628	16323	TRUE
ENSG00000131096	PYY	3.7974201003306183	5.7529913134457455	1.8255343338126286e-11	2.4847043561801386e-8	protein_coding	5697	816.5	60.93080220453154	10.738609994625978	16322	TRUE
ENSG00000171791	BCL2	4.917623789846059	-2.597862696121497	2.0830924286903683e-11	2.617165279830753e-8	protein_coding	596	4981.25	44.260978670012555	-10.681291459586756	1	TRUE
ENSG00000183569	SERHL2	6.278945472697383	5.790315997281605	5.673477686544948e-11	6.618922218167046e-8	protein_coding	253190	1194.1	56.26831923624487	10.24615064885258	16321	TRUE
ENSG00000172260	NEGR1	5.592267042156952	-4.2048188225286465	8.429454891737246e-11	8.749920918117321e-8	protein_coding	257194	3907.2	36.37387387387385	-10.074200509024719	2	TRUE
ENSG00000166123	GPT2	4.846953198578331	2.1795928739168513	8.571526032564571e-11	8.749920918117321e-8	protein_coding	84706	2814.2	55.05649918271622	10.066941851528105	16320	TRUE
ENSG00000163380	LMOD3	4.570817361230251	5.648210930221429	1.1365452069748193e-10	1.0919525215011602e-7	protein_coding	56203	3127	41.6373520946594	9.944413285192649	16319	TRUE
ENSG00000182841	RRP7BP	4.672737510566236	2.601537247804026	1.6719790777428566e-10	1.4618084589617896e-7	transcribed_unprocessed_pseudogene	91695	1609.4	57.710948179445786	9.77676916139322	16318	TRUE
ENSG00000082438	COBLL1	5.468142289691592	1.8453777862601475	1.700505768705933e-10	1.4618084589617896e-7	protein_coding	22837	2486.6153846153848	40.33904596918888	9.769421890451103	16317	TRUE
ENSG00000183723	CMTM4	7.304110375029783	1.2811885559175844	1.816781814556608e-10	1.483674868857654e-7	protein_coding	146223	4046.8	47.97370762083623	9.74069722592463	16316	TRUE
ENSG00000110799	VWF	3.3745744890288036	3.1001126982756158	3.017669387001505e-10	2.3470282903759801e-7	protein_coding	7450	1604.7777777777778	56.151769023056126	9.52032834284606	16315	TRUE
ENSG00000145675	PIK3R1	8.596835547307231	-2.1541713399304405	4.0368307659022903e-10	2.996979859067368e-7	protein_coding	5295	1831.625	40.03275779703813	-9.393959456924925	3	TRUE
