gene_id	gene_name	logCPM	logFC	PValue	FDR	gene_biotype	entrezid	ave_tx_len	gc_content	rankingStat	signedRank	DE	coef
ENSG00000278540	ACACA	9.532975201690961	1.4572393330690119	1.0915801884419411e-10	9.532517755674329e-7	protein_coding	31	2655.1304347826085	48.570446060129704	9.961944355127848	16333	TRUE	Sarm
ENSG00000287262	AC021148.3	5.326651545871683	3.101748420901508	1.1672708939783664e-10	9.532517755674329e-7	lncRNA	"NA"	2631	45.4960091220068	9.93282834351984	16332	TRUE	Sarm
ENSG00000164188	RANBP3L	5.383343184600554	4.213404243516571	2.263393540075365e-10	1.2322668896683646e-6	protein_coding	202151	2251.75	35.83879205062726	9.645239927961368	16331	TRUE	Sarm
ENSG00000196091	MYBPC1	4.958243618499124	4.063285973525628	5.231710150568499e-9	2.1362380472308823e-5	protein_coding	4604	2379	45.32716827798796	8.281356324984944	16330	TRUE	Sarm
ENSG00000131844	MCCC2	8.969925965649697	1.1715198501942081	7.867308882061077e-9	2.5699351194140716e-5	protein_coding	64087	1491.6666666666667	44.364990689013034	8.104173798459156	16329	TRUE	Sarm
ENSG00000186526	CYP4F8	9.108509523749426	6.30429241263675	1.1007433370130721e-8	2.9964068205724176e-5	protein_coding	11283	1478.1666666666667	54.278949148720265	7.95831393471896	16328	TRUE	Sarm
ENSG00000169213	RAB3B	5.166027413948924	2.7844063292179815	2.8945644793658905e-8	5.913470150531866e-5	protein_coding	5865	12780	44.6870109546166	7.53841677163841	16327	TRUE	Sarm
ENSG00000155368	DBI	8.697719256294373	1.5230801249710446	2.8964526543963096e-8	5.913470150531866e-5	protein_coding	1622	687.5833333333334	50.805962913586235	7.538133566112784	16326	TRUE	Sarm
ENSG00000163380	LMOD3	4.570817361230251	3.491018354154566	5.251094931551298e-8	9.529570390780817e-5	protein_coding	56203	3127	41.6373520946594	7.279750130279651	16325	TRUE	Sarm
ENSG00000096060	FKBP5	7.831026862783698	2.1108595158986163	6.347616424221962e-8	1.0367561905681731e-4	protein_coding	2289	4725.25	42.75964234696578	7.197389324808952	16324	TRUE	Sarm
ENSG00000131096	PYY	3.7974201003306183	3.078801470605185	8.918028604849683e-8	1.3241651018455443e-4	protein_coding	5697	816.5	60.93080220453154	7.049731138971335	16323	TRUE	Sarm
ENSG00000249379	AL033397.2	2.193866596048752	1.7744507142349835	9.904270581910048e-8	1.3480537617861402e-4	lncRNA	"NA"	990.5	44.62392730943967	7.004177503357759	16322	TRUE	Sarm
ENSG00000187889	FYB2	3.1737667952795947	1.7125948122446923	1.9394822206127783e-7	2.4367356237898853e-4	protein_coding	199920	1719.2	39.879013494648675	6.71231419725761	16321	TRUE	Sarm
ENSG00000145675	PIK3R1	8.596835547307231	-1.2562322991791848	2.473947369183349e-7	2.637658167710921e-4	protein_coding	5295	1831.625	40.03275779703813	-6.606609543800019	1	TRUE	Sarm
ENSG00000076554	TPD52	8.552333146214618	1.171412269254925	2.5788931085900536e-7	2.637658167710921e-4	protein_coding	7163	1224.4137931034484	40.55987383124931	6.588566658370616	16320	TRUE	Sarm
ENSG00000182795	C1orf116	6.262829534434543	6.510049480543251	2.583881141454401e-7	2.637658167710921e-4	protein_coding	79098	4321.5	52.55119750086778	6.587727467765852	16319	TRUE	Sarm
ENSG00000012660	ELOVL5	9.749795091399257	1.3583764453560565	3.097124139068959e-7	2.975607562553724e-4	protein_coding	60481	1650.2857142857142	42.80644044321328	6.509041386883396	16318	TRUE	Sarm
ENSG00000116133	DHCR24	9.843230342444727	1.0790995416835163	3.5535510408065755e-7	3.144530250315105e-4	protein_coding	1718	2621.3333333333335	55.137334689725336	6.449337442264201	16317	TRUE	Sarm
ENSG00000183569	SERHL2	6.278945472697383	2.7683186101901454	3.7385614536440345e-7	3.144530250315105e-4	protein_coding	253190	1194.1	56.26831923624487	6.427295476122253	16316	TRUE	Sarm
ENSG00000144815	NXPE3	5.904800794075298	1.2668501156445653	3.8505237865855697e-7	3.144530250315105e-4	protein_coding	91775	3468.1428571428573	42.7812332660543	6.41448018941326	16315	TRUE	Sarm
ENSG00000095321	CRAT	9.167980293434644	1.5713570218406445	4.2910380040105376e-7	3.1494496817559606e-4	protein_coding	1384	1142.3333333333333	61.706059721816956	6.367437639077448	16314	TRUE	Sarm
ENSG00000121270	ABCC11	6.677442312077098	2.0811508199814686	4.4023688128233423e-7	3.1494496817559606e-4	protein_coding	85320	2859.5555555555557	51.107398197078005	6.356313576806636	16313	TRUE	Sarm
ENSG00000166391	MOGAT2	3.212392503728595	1.6077978221576632	4.435029858592242e-7	3.1494496817559606e-4	protein_coding	80168	2383.25	53.87600965068707	6.35310345195893	16312	TRUE	Sarm
ENSG00000115993	TRAK2	8.01948860940861	-0.7664689865208426	8.819270870662692e-7	6.001881297105573e-4	protein_coding	66008	1947	41.807909604519764	-6.054567318489173	2	TRUE	Sarm
ENSG00000153132	CLGN	7.818115680362199	1.4114559884536981	1.3220292957187147e-6	8.637081794789507e-4	protein_coding	1047	2083.6666666666665	37.2100463925772	5.878758920926012	16311	TRUE	Sarm
ENSG00000143158	MPC2	7.826186537401328	1.2387419137056026	1.5763640599057419e-6	9.902597765554032e-4	protein_coding	25874	1681.6666666666667	44.499504459861264	5.802343475330506	16310	TRUE	Sarm
ENSG00000110328	GALNT18	4.480841713523725	2.591945836573148	1.6426835875070498e-6	9.93701890176024e-4	protein_coding	374378	2013	53.775459513164414	5.784446081989982	16309	TRUE	Sarm
ENSG00000067177	PHKA1	4.9760318644179256	0.767556775398671	1.7400100066736971e-6	0.0010149851228214819	protein_coding	5255	5800	45.80344827586209	5.759448254113566	16308	TRUE	Sarm
ENSG00000082438	COBLL1	5.468142289691592	0.9445351136996821	2.0228817057073942e-6	0.0011393009275627198	protein_coding	22837	2486.6153846153848	40.33904596918888	5.694029513205781	16307	TRUE	Sarm
ENSG00000163001	CFAP36	5.6337624664399915	1.0583525652999701	2.723968069106594e-6	0.001408194353240362	protein_coding	112942	1035.2857142857142	42.044984131364714	5.564797987615378	16306	TRUE	Sarm
ENSG00000103187	COTL1	4.550696478288037	1.3855530248320485	2.7318809823803287e-6	0.001408194353240362	protein_coding	23406	1812.3333333333333	54.04634908957144	5.563538225130108	16305	TRUE	Sarm
ENSG00000154175	ABI3BP	3.435596661753164	-2.159039956047427	2.758967691403391e-6	0.001408194353240362	protein_coding	25890	1525.5357142857142	44.06648718248859	-5.559253385250202	3	TRUE	Sarm
ENSG00000229320	KRT8P12	4.038872120062776	-1.1371604201421555	2.91410176613774e-6	0.0014423037620099304	transcribed_processed_pseudogene	"NA"	1197.5	56.99373695198327	-5.535495285887805	4	TRUE	Sarm
ENSG00000261578	AP003119.3	4.0492845982638945	1.8135631933979701	3.078969396327162e-6	0.0014790825632415158	lncRNA	"NA"	4192	47.280534351145	5.511594627781535	16304	TRUE	Sarm
ENSG00000157600	TMEM164	6.5128978908913995	0.8104436845110132	3.3953165189485167e-6	0.0015406475675867036	protein_coding	84187	2961.25	52.52427184466023	5.469119733599891	16303	TRUE	Sarm
ENSG00000140798	ABCC12	3.5387539658398057	3.6098639289605376	3.3957823077892196e-6	0.0015406475675867036	protein_coding	94160	2744.076923076923	50.379839093992665	5.469060158697882	16302	TRUE	Sarm
ENSG00000144331	ZNF385B	2.9863243432365594	2.952156794919598	3.6844066616849423e-6	0.0016264165947378424	protein_coding	151126	1349.3076923076924	44.43304258594152	5.433632441130235	16301	TRUE	Sarm
ENSG00000109339	MAPK10	4.889510461793485	1.5853263466798537	3.9001003747707195e-6	0.0016763247216086885	protein_coding	5602	2489.0260416666665	42.74764434716559	5.408924215627837	16300	TRUE	Sarm
ENSG00000157214	STEAP2	5.807800751195734	2.2557505269736113	4.0786788475464875e-6	0.0017081297850506866	protein_coding	261729	3202.9	38.23722251709389	5.389480489394683	16299	TRUE	Sarm
ENSG00000196090	PTPRT	7.438203849440155	2.229808480730732	4.557497907085719e-6	0.0018609403329107761	protein_coding	11122	9020.5	51.341389058256205	5.341273522111567	16298	TRUE	Sarm
ENSG00000120903	CHRNA2	4.202192109191203	5.310318534681985	5.21240333841169e-6	0.002076443505518979	protein_coding	1135	1353.3076923076924	57.57403512760758	5.2829619857320775	16297	TRUE	Sarm
